Timestamp,ksurf-master1 CPU (m),ksurf-master1 Memory (MiB),ksurf-producer-aea9655c CPU (m),ksurf-producer-aea9655c Memory (MiB),ksurf-worker2-27aec434 CPU (m),ksurf-worker2-27aec434 Memory (MiB),ksurf-producer1-ede6efb4 CPU (m),ksurf-producer1-ede6efb4 Memory (MiB)
2024-12-14 00:14:49,759,2869,988,2645,226,968,-,-
2024-12-14 00:14:52,759,2869,988,2645,226,968,-,-
2024-12-14 00:14:54,759,2869,988,2645,226,968,-,-
2024-12-14 00:14:56,759,2869,988,2645,226,968,-,-
2024-12-14 00:14:58,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:01,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:03,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:05,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:07,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:09,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:12,730,2871,1820,3013,434,719,-,-
2024-12-14 00:15:14,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:16,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:18,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:20,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:23,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:25,1118,2946,1618,2950,247,696,-,-
2024-12-14 00:15:27,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:29,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:31,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:33,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:36,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:38,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:40,1099,2890,1710,3100,11,695,-,-
2024-12-14 00:15:42,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:44,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:47,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:49,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:51,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:53,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:55,742,2896,1640,2646,22,695,-,-
2024-12-14 00:15:58,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:00,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:02,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:04,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:06,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:09,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:11,737,2901,961,2647,8,695,-,-
2024-12-14 00:16:13,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:15,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:17,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:20,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:22,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:24,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:26,778,2914,1515,2945,25,695,-,-
2024-12-14 00:16:28,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:31,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:33,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:35,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:37,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:39,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:42,745,2917,1451,2968,8,695,-,-
2024-12-14 00:16:44,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:46,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:48,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:50,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:52,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:55,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:57,1138,3313,1552,2781,29,696,-,-
2024-12-14 00:16:59,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:01,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:03,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:06,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:08,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:10,1371,2937,1224,2648,16,696,-,-
2024-12-14 00:17:12,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:14,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:16,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:19,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:21,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:23,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:25,756,2941,1069,2648,27,695,-,-
2024-12-14 00:17:27,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:30,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:32,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:34,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:36,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:38,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:40,802,2958,1016,2648,9,696,-,-
2024-12-14 00:17:43,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:45,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:47,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:49,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:51,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:54,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:56,771,2957,1026,2652,23,695,-,-
2024-12-14 00:17:58,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:00,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:02,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:05,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:07,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:09,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:11,1131,3235,1421,2672,10,696,-,-
2024-12-14 00:18:13,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:15,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:18,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:20,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:22,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:24,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:26,918,2971,1151,2694,25,695,-,-
2024-12-14 00:18:29,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:31,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:33,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:35,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:37,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:39,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:42,767,2972,1225,2648,10,696,-,-
2024-12-14 00:18:44,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:46,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:48,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:50,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:53,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:55,765,2981,1379,2836,24,695,-,-
2024-12-14 00:18:57,791,2985,1606,3040,10,696,-,-
2024-12-14 00:18:59,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:01,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:04,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:06,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:08,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:10,791,2985,1606,3040,10,696,-,-
2024-12-14 00:19:12,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:15,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:17,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:19,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:21,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:23,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:26,752,2990,1723,3012,28,695,-,-
2024-12-14 00:19:28,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:30,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:32,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:34,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:36,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:39,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:41,771,2996,1301,2928,23,696,-,-
2024-12-14 00:19:43,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:45,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:47,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:49,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:52,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:54,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:56,775,3006,1310,2660,27,696,-,-
2024-12-14 00:19:58,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:00,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:02,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:05,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:07,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:09,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:11,742,3007,988,2648,9,696,-,-
2024-12-14 00:20:13,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:16,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:18,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:20,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:22,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:24,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:26,769,3014,937,2648,441,1090,-,-
2024-12-14 00:20:29,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:31,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:33,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:35,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:37,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:40,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:42,810,3024,1259,2945,612,696,-,-
2024-12-14 00:20:44,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:46,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:48,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:51,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:53,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:55,761,3026,1753,2747,27,696,-,-
2024-12-14 00:20:57,770,3031,1254,2659,10,696,-,-
2024-12-14 00:20:59,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:01,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:04,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:06,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:08,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:10,770,3031,1254,2659,10,696,-,-
2024-12-14 00:21:12,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:15,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:17,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:19,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:21,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:23,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:25,785,3043,948,2649,27,695,-,-
2024-12-14 00:21:28,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:30,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:32,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:34,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:36,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:38,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:41,747,3043,1009,2649,16,696,-,-
2024-12-14 00:21:43,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:45,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:47,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:49,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:52,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:54,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:56,761,3044,1036,2651,23,695,-,-
2024-12-14 00:21:58,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:00,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:03,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:05,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:07,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:09,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:11,752,3049,1225,2947,29,696,-,-
2024-12-14 00:22:13,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:16,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:18,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:20,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:22,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:24,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:27,1521,3416,1323,2653,25,695,-,-
2024-12-14 00:22:29,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:31,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:33,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:35,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:38,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:40,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:42,867,3085,1034,2649,11,696,-,-
2024-12-14 00:22:44,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:46,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:48,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:51,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:53,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:55,794,3087,1081,2651,29,695,-,-
2024-12-14 00:22:57,782,3086,1074,2647,11,696,-,-
